Site,Day1,Day2,Day3,Day4,Day5,Day6,Day7,Day8,Day9,Day10,Day11,Day12,Day13,Day14,Day15,Day16,Day17,Day18,Day19,Day20,Bottom Substrate,Cover Score,Total,devel,grass,crop,wetland,forest,MU,Discharge1,Discharge2,Discharge3,Discharge4,Discharge5,Discharge6,Discharge7,Discharge8,Discharge9,Discharge10,Discharge11,Discharge12,Discharge13,Discharge14,Discharge15,Discharge16,Discharge17,Discharge18,Discharge19,Discharge20,Bait1,Bait2,Bait3,Bait4,Bait5,Bait6,Bait7,Bait8,Bait9,Bait10,Bait11,Bait12,Bait13,Bait14,Bait15,Bait16,Bait17,Bait18,Bait19,Bait20
11,,,,,0,0,0,0,0,0,0,0,,,,,,,,,3,11,54,0.2316377,0.0353977,0,0.2173314,0.5130588,FE,198.4367601,119.273159,78.2136379,65.65301319,89.50764499,58.26441042,54.78121197,57.84220455,574.1999867,248.0459502,167.8268344,125.6062471,8.992985086,5.193132233,4.77092636,4.654819745,9.47852184,7.367492477,7.219720421,8.296345397,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
12,,,,,0,0,0,0,,,,,,,,,0,0,0,0,1,14,43,0.1826845,0.0088197,0.0030597,0.2411735,0.5613788,UN,4484.508341,4341.290509,3902.685901,3302.961233,796.6491862,632.8437918,753.6838369,576.4517707,3285.059004,3240.303432,3213.450088,2694.28545,260.4774306,261.372542,331.1912347,374.1565841,464.5628401,389.3734787,348.1983522,703.5575959,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
13,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,3,15,65,0.3332365,0.1333226,0.1000179,0.0000332,0.4333899,SM,186.8935454,113.199749,91.16758311,37.68260102,33.12422186,21.27243606,16.56211093,13.18891036,14.40447813,29.62946451,26.28665313,52.26941432,6.275368638,5.834725319,5.56122257,5.45486039,17.16989482,15.95432704,11.91256419,8.782477173,4,5,6,7,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
14,,,,1,,,,,,,,,,,,,,,,,12,15,78,0.0566793,0.4779233,0.0114455,0.3950891,0.0561327,SM,1268.073282,768.0606461,618.5723325,255.6765641,224.7479475,144.3335442,112.3739737,89.48679743,97.73442853,201.036008,178.3550225,354.6481373,42.57839555,39.58862928,37.73291228,37.01124456,116.4977893,108.2501582,80.82678477,59.58913469,4,5,6,7,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
15,,,,,,,,,0,0,0,0,,,,,,,,,1,13,76,0.05048,0.064196,0.0552826,0.4056841,0.3830681,SM,522.2480048,540.8647255,378.2133769,179.3084144,159.7118664,116.5994607,100.9222223,89.26227625,107.7810141,247.8963325,281.2104641,312.564941,59.18157503,58.88762681,60.94526435,61.63114354,172.4496226,134.236354,93.47553407,77.79829566,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
16,,,,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,13,20,86,0.2998247,0.1081744,0.0910762,0.1612713,0.3339614,SM,726.4217169,752.3166749,526.0765154,249.4093324,222.1514819,162.1842107,140.3779303,124.1595092,149.918178,344.8118093,391.1501552,434.7627161,82.31870863,81.90984087,84.77191518,85.72593994,239.8690847,186.7162762,130.0199471,108.2136666,4,5,6,7,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
17,,,,,1,1,0,0,,,1,0,0,1,1,0,0,0,0,0,3,15,61,0.3551702,0.1912443,0.0327975,0.0054637,0.3988789,SM,962.8492792,583.1891975,469.6825752,194.1354644,170.6513357,109.5926009,85.32566783,67.94741255,74.20984688,152.6468369,135.4251425,269.2846764,32.32981726,30.05968481,28.65063709,28.10267408,88.456885,82.19445066,61.37185649,45.24608808,1,2,3,4,1,2,3,4,0,0,1,2,1,2,3,4,1,2,3,4
18,,,,,0,0,0,0,,,,,,,,,0,0,0,0,1,6,34,0.132613,0.0113407,0.0057201,0.1994084,0.6487702,UN,3035.56825,3253.811718,1716.187278,1210.259237,938.4469164,1716.187278,2053.472639,1954.271063,5614.809246,3491.895503,4067.264648,4057.34449,413.6705752,407.7184806,406.7264648,409.7025121,975.1514998,745.9958574,757.9000466,794.60463,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
19,,,,1,,,,,0,0,0,0,0,0,0,0,0,0,0,1,1,15,64,0.0754675,0.0347033,0.7471448,0.0477044,0.093678,SM,826.1884207,855.6397903,598.3278244,283.6631913,252.6617497,184.458578,159.6574246,141.2115668,170.5079292,392.1682372,444.8706881,494.4729947,93.62435386,93.15933224,96.41448361,97.49953407,272.8126868,212.3598755,147.8768768,123.0757235,4,5,6,7,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
20,,,,,,,,,,,,,,,,,0,0,0,,3,7,51,0.1323164,0.085702,0.040754,0.2027398,0.6502056,UN,4795.086997,4641.950486,4172.969922,3531.710782,851.8218418,676.6719575,805.8808885,616.3744563,3512.568718,3464.713559,3436.000463,2880.880611,278.5170292,279.4741324,354.1281814,400.0691347,496.7365572,416.339889,372.3131421,752.2831097,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
21,,,,,0,0,0,0,,,,,,,,,0,0,0,0,3,11,56,0.2197318,0.008406,0,0.7178275,0.0492332,UN,53.80770742,34.22725228,25.59335081,23.89740587,50.41581755,68.45450456,73.38816255,39.46926389,36.84825809,32.53130735,31.14371604,29.44777111,8.772660607,11.99495598,63.52084658,26.05588124,24.97664356,20.50551601,18.50121745,346.8978272,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
22,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,3,15,55,0.3593865,0.0559602,0.0191452,0.139877,0.4123547,UN,3739.884862,3620.447421,3254.670259,2754.525976,664.3707639,527.7641911,628.5395317,480.7356988,2739.596296,2702.272096,2679.877576,2246.916853,217.2268453,217.9733293,276.1990816,312.0303138,387.4251983,324.7205419,290.3822777,586.7364274,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
23,,,,,0,0,0,0,,,,,1,0,0,1,,,,,2,15,57,0.162961,0.1150067,0.0081729,0.1064745,0.6063359,UT,315.3223082,317.0360164,281.9049984,251.9151049,77.97372295,77.20255426,96.82451311,111.3910328,4524.189639,4121.468213,4652.717754,3384.573689,149.9494672,131.098677,116.5321574,109.6773246,243.3465639,529.5358328,334.1730984,1079.636164,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
24,0,0,0,0,,,,,,,,,,,,,,,,,2,15,59,0.0317852,0.040693,0.0194219,0.3297375,0.5735671,MT,48.8876598,49.15335361,43.70663064,39.05698908,12.08906805,11.96950584,15.01169989,17.27009721,701.4316407,638.9935969,721.3586759,524.7452615,23.24820779,20.32557595,18.06717862,17.00440341,37.06428556,30.82048118,29.22631836,29.22631836,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
25,,,,,,,,,,,,,,,,,0,1,1,0,2,5,39,0.0708057,0.0505959,0.2477063,0.1804813,0.4495085,MT,494.0255609,474.9927503,436.0996157,379.8286976,313.6276174,302.8699418,311.9725904,310.3175634,2954.223203,1721.228085,1704.677815,1257.820524,106.7492418,112.5418363,115.8518903,120.8169713,455.9599398,363.2784275,337.6255089,333.4879414,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
26,1,1,1,1,0,0,0,0,,,,,,,,,,,,,4,15,61,0.0706983,0.0505561,0.2477603,0.1805561,0.4495263,MT,490.7494898,471.842893,433.2076736,377.3099092,311.5478335,300.8614962,309.9037817,308.2597298,2934.632627,1709.813968,1693.373449,1249.479438,106.041347,111.7955287,115.0836324,120.0157881,452.9362963,360.8693903,335.386586,331.2764562,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
27,,,,,,,,,,,,,,,,,0,0,1,1,1,10,69,0.1209816,0.1601556,0.1530009,0.0569011,0.5071758,MT,46.77407947,44.97206301,41.28968154,35.9619807,29.69409735,28.67556631,29.53740027,29.38070318,279.7042943,162.964967,161.3979962,119.0897836,10.1069619,10.65540169,10.96879586,11.43888711,43.17004654,34.39500986,31.96620506,31.57446235,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
28,,,,,,,,,,,,,0,0,0,1,0,0,1,0,3,15,63,0.0555319,0.1389111,0.0694331,0.0323867,0.6991106,SS,145.618726,123.5755243,133.5951614,122.2395727,84.16495171,74.81329041,68.13353234,64.72685572,436.8561779,396.7776295,316.6205326,282.5537665,363.3788391,629.2332104,549.7440893,544.4002829,85.79806367,101.1869056,115.9433293,136.1807104,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
29,,0,0,0,0,0,0,1,,,,,,,,,0,0,0,0,3,15,63,0.0050997,0.0408363,0.0073788,0.2216092,0.710497,F,215.2843376,289.2883287,208.5567021,110.4677758,48.43897597,43.86418379,38.88573349,36.06012656,402.312606,291.9793829,244.8859341,181.6461599,108.8531432,310.8167625,353.87363,335.0362505,54.76295339,64.58530129,74.00399106,86.92105132,0,1,2,3,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
30,,,,,,,,,,,,,1,0,0,0,,0,0,0,3,15,54,0.1665057,0.1159925,0.0079762,0.1029754,0.6060811,UT,290.1080712,291.6847455,259.3629223,231.7711221,71.73868064,71.0291772,89.08209794,102.4838295,4162.420151,3791.901691,4280.670724,3113.931742,137.9590012,120.6155839,107.2138524,100.9071552,223.8877506,487.1923586,307.4514885,993.3048089,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,0,1,2,3
31,,,,,0,0,1,0,,,,,0,0,0,0,,,,,3,10,54,0.0180341,0.2570874,0.0172633,0.0008482,0.7058323,UT,808.6750124,455.2433073,340.3416419,317.0704185,24.14389425,22.3985525,24.87111998,32.72515787,2603.468115,4566.977588,1658.074666,1322.096378,58.61439388,51.05124628,45.66977588,43.19720839,491.6045938,452.3344044,327.2515787,1832.608841,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
32,1,0,1,0,1,0,0,0,,,,,0,0,0,0,0,0,0,1,10,19,88,0.0252588,0.3765394,0.0250919,0.0012527,0.5706386,UT,715.3278228,402.6935405,301.0552348,280.4702614,21.35690982,19.81303682,22.00019023,28.94761873,2302.94389,4039.801014,1466.679349,1169.483797,51.84840154,45.15828521,40.39801014,38.21085672,434.8575613,400.1204189,289.4761873,1621.066649,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
33,,,,,,,,,,,,,,0,0,0,,,,,15,15,92,0.044152,0.3824478,0.0095426,0.0002328,0.5615237,UT,146.6938947,82.58127526,61.73807799,57.51667095,4.379709806,4.063104278,4.511628776,5.936353653,472.2699128,828.451132,300.7752517,239.8286876,10.63266899,9.260711698,8.28451132,7.835986822,89.17722376,82.05359938,59.36353653,332.4358046,1,2,3,4,1,2,3,4,1,2,3,4,0,1,2,3,1,2,3,4
34,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,8,15,68,0.0136559,0.3677376,0.0328389,0.0018646,0.5831288,UT,554.2638351,312.0226266,233.2693119,217.3192735,16.54816486,15.35191198,17.04660356,22.42974153,1784.410548,3130.19504,1136.440237,906.1615577,40.17415927,34.99039678,31.3019504,29.60725882,336.9445616,310.0288718,224.2974153,1256.065526,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
35,,,,,,,,,,,,,,,,,0,0,0,0,9.5,14,65,0.0578962,0.3379443,0.0441539,0.021699,0.5549352,UT,462.7718044,260.5172208,194.7636731,181.4464989,13.81656826,12.81778019,14.23272996,18.72727626,1489.858867,2613.495442,948.8486637,756.5819608,33.54263259,29.21455096,26.13495442,24.72000466,281.3253056,258.852574,187.2727626,1048.72747,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
36,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,11,13,62,0.0343538,0.4408269,0.0369933,0.003958,0.4799014,UT,347.7236618,195.7509103,146.3441311,136.3376947,10.38167767,9.63119495,10.69437881,14.07155106,1119.470062,1963.763126,712.9585872,568.4906629,25.20371146,21.95161966,19.63763126,18.5744474,211.3859671,194.5001058,140.7155106,788.0068595,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
37,0,0,0,0,,,,,,,,,,,,,,,,,15,14,76.5,0,0,0,0,1,UT,269.1688423,151.5285029,113.2832897,105.5374238,8.036335938,7.45539599,8.278394249,10.89262401,866.5687547,1520.126195,551.8929499,440.0620101,19.5098999,16.99249346,15.20126195,14.3782637,163.6314185,150.5602697,108.9262401,609.9869447,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
38,0,0,0,0,,,,,,,,,,,,,0,0,1,0,12,16,74,0.0336315,0.0828205,0.0180721,0.0855811,0.7427576,UT,180.1566282,101.419109,75.82131474,70.63695134,5.378777029,4.989949774,5.540788385,7.290511033,580.0006555,1017.431317,369.3858923,294.5366457,13.05811532,11.37319721,10.17431317,9.623474563,109.5196769,100.7710636,72.90511033,408.2686178,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
39,,,,,0,0,0,0,,,,,,0,0,0,,,,,15,15,84,0.0308555,0.0820115,0.0200153,0.0961127,0.7402467,UT,159.9695433,90.05479687,67.3253114,62.72187131,4.776069099,4.430811092,4.919926602,6.473587635,515.0098607,903.4251188,327.9951068,261.5329404,11.59491474,10.09879671,9.034251188,8.545135678,97.24767202,89.47936686,64.73587635,362.5209075,1,2,3,4,1,2,3,4,1,2,3,4,0,1,2,3,1,2,3,4
40,0,0,0,0,,,,,,,,,,,,,0,0,0,0,15,15,83.5,0.0183491,0.0801068,0.0315412,0.1525184,0.6956021,UT,86.06554057,48.45056511,36.22182823,33.74512202,2.569582686,2.383829721,2.646979755,3.482868099,277.0815065,486.0535925,176.465317,140.7078712,6.23820375,5.433274234,4.860535925,4.59738589,52.32041855,48.14097683,34.82868099,195.0406135,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
41,0,0,0,0,,,,,,,,,,,,,,,,,12,20,88,0.0210552,0.0879895,0.038075,0.1836142,0.6444901,UT,71.21185408,40.08868764,29.97045657,27.92119459,2.126109313,1.972414663,2.19014875,2.881774671,229.2611849,402.1676651,146.0099166,116.4236967,5.161578632,4.495568486,4.021676651,3.803942565,43.2906595,39.83252989,28.81774671,161.3793816,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
42,,,,,,,,,,,,,,,,,0,0,0,0,3,15,63,0.023162,0.0186448,0.040565,0.7293202,0.2430762,SS,70.32532784,59.67975069,64.5186494,59.0345642,40.64674912,36.13044366,32.90451119,31.25928563,210.9759835,191.6203887,152.9091991,136.4569435,175.4907264,303.8828387,265.4942423,262.9134963,41.43544668,48.86735726,55.99384686,65.76731832,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
43,,,,,0,0,0,0,,,,,,,,,0,0,1,0,3,15,72,0.01976,0.0420678,0.0015477,0.1983214,0.7326385,F,325.2714829,437.0835551,315.106749,166.9049297,73.18608365,66.27406464,58.7521616,54.48297338,607.8510837,441.1494487,369.9963118,274.4478137,164.4653935,469.6107034,534.665,506.2037452,51.02696388,52.45002662,53.26320532,61.19169772,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
44,,,,,0,0,0,0,,,,,0,1,0,1,0,0,1,0,3,10,59,0.0392471,0.0359434,0.0021702,0.2509324,0.6660037,F,230.2790783,309.4375115,223.0828571,118.1619521,51.81279262,46.91936221,41.59415852,38.57174562,430.3340276,312.316,261.9424516,194.2979723,116.434859,332.4654193,378.521235,358.3718156,36.12503041,37.13250138,37.70819908,43.32125161,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
45,,,,,0,0,0,0,,,,,,,,,,,,,3,14,67.5,0.0274459,0.0825211,0.0492392,0.2141089,0.5659246,MT,25.26233772,21.43822238,23.17645663,21.20645781,12.51528658,12.3994043,12.51528658,12.51528658,75.78701317,68.83407618,54.9282022,49.01820577,12.50735547,14.26277378,14.59191472,12.36107061,31.40409873,28.62292393,27.92763023,29.08645307,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
46,1,0,1,0,,,,,,,,,,,,,1,1,1,1,13,18,84.5,0.1422695,0.028611,0.4780475,0.1121488,0.2389226,LT,188.9911091,178.438306,170.5237037,165.4871387,805.8504143,441.2990364,366.9497422,338.1693703,671.5420119,709.9158412,542.0303382,455.6892224,131.1905288,113.9223056,104.5686847,98.81261033,1016.906475,465.2826797,323.7791843,271.0151691,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
47,,,,,,,,,,,,,0,1,0,1,1,1,1,0,7,13,59,0.0984156,0.0572269,0.3625901,0.1718512,0.3059873,LT,2354.313465,2230.992284,2107.671102,1995.560937,18498.17723,19619.27888,19731.38904,17825.51624,22197.81267,20404.05003,17825.51624,14574.32145,2343.102449,2051.61602,1804.973657,1625.597393,385.6589676,525.7966739,621.0903141,628.9380257,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
48,,,,,1,0,0,1,,,,,1,1,1,1,,,,,13,13,77,0.1104913,0.1145691,0.2436546,0.1361385,0.3894925,LT,3455.037159,2591.277869,1977.710925,1709.647697,941.1997777,1703.690737,3061.877758,3562.26245,11794.78202,10841.66833,9471.567383,7744.048804,1751.346422,1179.478202,982.898502,935.2428171,144.754143,124.5004769,104.8425069,87.56732109,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
49,1,0,1,1,,,,1,,,,,,,,,0,0,0,0,13,10,76.5,0.2410909,0.2458181,0.2361618,0.1074739,0.1629327,MT,1722.778402,1419.396042,1311.045199,1278.539946,722.7001223,2340.378207,2892.967506,3185.514782,6880.278525,4063.156609,3163.844613,2578.750061,591.5956023,587.2615686,656.6061081,598.0966529,938.3182997,733.5352066,603.5141951,527.668605,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
50,1,1,0,1,,,,,,,,,,,,,,,,,8.5,13,62.5,0.4483148,0.0153232,0.2527918,0.1072161,0.1648418,MT,1649.502145,1359.02378,1255.281507,1224.158825,691.9609629,2240.833103,2769.918697,3050.022835,6587.634354,3890.335249,3029.27438,2469.066104,566.4328122,562.2831213,628.6781762,572.6573486,898.4080868,702.3351902,577.8444623,505.224871,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
51,1,1,1,1,,,,,,,,,1,1,1,1,0,0,0,0,15,20,81,0.0320288,0.0042916,0.061012,0.77798,0.1026527,MT,1364.926113,1124.561766,1038.717356,1012.964034,572.5822122,1854.239248,2292.045737,2523.825643,5451.120011,3219.165361,2506.656761,2043.096949,468.7104765,465.2767001,520.2171223,473.8611411,743.4125873,581.1666531,478.1533616,418.0622749,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
52,1,1,1,0,0,0,0,1,,,,,1,1,1,1,1,0,0,0,6,19,70,0.0136676,0.03606,0.0381102,0.4143722,0.4501964,MT,614.3677234,590.6986151,542.3313069,472.3530737,390.0257406,376.647549,387.9675573,385.909374,3673.85724,2140.510661,2119.928828,1564.219329,132.7528246,139.9564663,144.072833,150.2473829,567.0295068,451.7712405,419.8693989,414.7239406,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
53,1,0,1,0,,,,,,,,,0,0,0,0,0,0,0,0,11,15,66.5,0.0139248,0.0526843,0.0266924,0.3232697,0.5497714,MT,604.9477568,581.6415618,534.015859,465.1105869,384.0455608,370.8724941,382.0189352,379.9923095,3617.526787,2107.690677,2087.42442,1540.235495,130.7173545,137.8105443,141.8637956,147.9436725,558.3353668,444.8443304,413.4316328,408.3650686,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
54,0,0,0,1,0,0,0,1,,,,,,,,,1,1,0,1,8,19,63,0.067239,0.0574161,0.0289423,0.24964,0.5429368,MT,591.6094799,568.8171549,522.2415342,454.8555297,375.5778775,362.695259,373.5959362,371.6139949,3537.765231,2061.218958,2041.399545,1506.275393,127.8352142,134.7720088,138.7358914,144.6817153,546.0248298,435.0361167,404.3160264,399.3611732,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
55,,,,,0,0,0,0,,,,,,,,,,,,,4,20,79.5,0.0420295,0.0336034,0.4503854,0.161348,0.3075938,F,189.3187353,159.3101712,145.8504476,131.0668168,86.93657543,551.6280167,146.5124012,114.5179763,66.41601321,55.82475529,37.95200755,20.82947391,201.4545517,192.6285034,185.5676648,187.7741769,95.76262369,94.21806525,84.73006336,80.09638802,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
56,,,,,1,1,0,0,,,,,1,1,1,0,0,0,0,0,6,20,81.5,0.0584258,0.0669434,0.2553958,0.1300391,0.4826013,SS,354.6922012,301.0002625,325.4056892,297.7462056,175.7190721,174.0920437,175.7190721,175.7190721,1064.076604,966.4548968,771.2114833,688.2330326,175.6077166,200.2544137,204.8756693,173.5538252,642.6762361,530.4112733,465.3301355,416.5192821,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
57,,,,,0,1,1,1,,,,,1,1,1,1,0,0,0,0,5,13,66.5,0.0535094,0.035219,0.3563087,0.2661848,0.2873704,F,868.249281,754.3095913,751.4250422,820.6542208,452.8742097,1158.146466,2523.980468,2783.589888,4312.400914,3129.735781,2624.939687,1947.070647,493.2578972,562.4870758,575.4675467,487.488799,569.6984485,470.1815044,412.4905222,369.2222856,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
58,0,0,0,0,1,1,0,0,,,,,,,,,0,0,0,1,11,20,89,0.055787,0.076612,0.2275575,0.1192276,0.5153482,SS,315.0239691,267.3368545,289.0128157,264.4467263,156.0669205,154.6218564,156.0669205,156.0669205,945.0719072,858.3680625,684.9603731,611.2621051,155.9680187,177.858267,181.9626885,154.1438314,570.8003109,471.0908895,413.2883264,369.936404,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
